Gene name	RefSeq mRNA ID
KIR2DL3	NM_015868
KIR3DL2	NM_006737
KIR3DL2	NM_001242867
INTS3	NM_023015
INTS3	NM_001324475
KIR2DL1	NM_014218
KIR2DS3	NM_012313
KIR2DS4	NM_001281971
KIR2DS4	NM_001281972
KIR2DL2	NM_014219
KIR3DL1	NM_013289
KIR3DL3	NM_153443
NCR1	NM_004829
NCR1	NM_001145458
NCR1	NM_001145457
PCMTD2	NM_001104925
KIR2DL4	NM_001080770
KIR2DL4	NM_002255
PCMTD2	NM_018257
NCR1	NM_001242357
OPRL1	NM_001318854
OPRL1	NM_001318855
NPBWR2	NM_005286
KIR2DL4	NM_001080772
KIR2DS4	NM_012314
KRT20	NM_019010
KRTAP3-1	NM_031958
KRTAP3-2	NM_031959
GATAD2B	NM_020699
KRTAP4-9	NM_001146041
KRTAP2-4	NM_033184
KIR2DS5	NM_014513
KIR2DS2	NM_012312
KIR2DS2	NM_001291695
KIR2DS2	NM_001291701
KIR2DS2	NM_001291696
KIR2DS2	NM_001291700
KIR2DL5B	NM_001018081
FCAR	NM_133273
KIR3DL1	NM_001322168
KIR2DS1	NM_014512
KRT23	NM_015515
SLC27A3	NM_024330
SLC27A3	NM_001317929
MYT1	NM_004535
DNAH10	NM_207437
DNAH10	NM_001372106
KRT23	NM_001282433
KIR3DS1	NM_001083539
KIR3DS1	NM_001282170
KIR3DS1	NM_001282171
KIR2DL5A	NM_020535
FCAR	NM_002000
KRT40	NM_182497
KRT40	NM_001385217
FCAR	NM_133271
FCAR	NM_133269
KRTAP1-1	NM_030967
CCDC92	NM_001304958
CCDC92	NM_001304960
CCDC92	NM_001304959
CCDC92	NM_025140
CCDC92	NM_001304957
KRTAP4-11	NM_033059
CCDC92	NM_001304961
KRTAP1-3	NM_030966
KRT12	NM_000223
KRTAP1-5	NM_031957
FCAR	NM_133278
FCAR	NM_133274
FCAR	NM_133272
FCAR	NM_133277
KRT39	NM_213656
KRTAP2-1	NM_001123387
KRTAP3-3	NM_033185
